"location","date","rolling_reported_cases","population","infection_percentage"
Argentina,"2020-01-01",0,45510324,0
Argentina,"2020-01-02",0,45510324,0
Argentina,"2020-01-03",0,45510324,0
Argentina,"2020-01-04",0,45510324,0
Argentina,"2020-01-05",0,45510324,0
Argentina,"2020-01-06",0,45510324,0
Argentina,"2020-01-07",0,45510324,0
Argentina,"2020-01-08",0,45510324,0
Argentina,"2020-01-09",0,45510324,0
Argentina,"2020-01-10",0,45510324,0
Argentina,"2020-01-11",0,45510324,0
Argentina,"2020-01-12",0,45510324,0
Argentina,"2020-01-13",0,45510324,0
Argentina,"2020-01-14",0,45510324,0
Argentina,"2020-01-15",0,45510324,0
Argentina,"2020-01-16",0,45510324,0
Argentina,"2020-01-17",0,45510324,0
Argentina,"2020-01-18",0,45510324,0
Argentina,"2020-01-19",0,45510324,0
Argentina,"2020-01-20",0,45510324,0
Argentina,"2020-01-21",0,45510324,0
Argentina,"2020-01-22",0,45510324,0
Argentina,"2020-01-23",0,45510324,0
Argentina,"2020-01-24",0,45510324,0
Argentina,"2020-01-25",0,45510324,0
Argentina,"2020-01-26",0,45510324,0
Argentina,"2020-01-27",0,45510324,0
Argentina,"2020-01-28",0,45510324,0
Argentina,"2020-01-29",0,45510324,0
Argentina,"2020-01-30",0,45510324,0
Argentina,"2020-01-31",0,45510324,0
Argentina,"2020-02-01",0,45510324,0
Argentina,"2020-02-02",0,45510324,0
Argentina,"2020-02-03",0,45510324,0
Argentina,"2020-02-04",0,45510324,0
Argentina,"2020-02-05",0,45510324,0
Argentina,"2020-02-06",0,45510324,0
Argentina,"2020-02-07",0,45510324,0
Argentina,"2020-02-08",0,45510324,0
Argentina,"2020-02-09",0,45510324,0
Argentina,"2020-02-10",0,45510324,0
Argentina,"2020-02-11",0,45510324,0
Argentina,"2020-02-12",0,45510324,0
Argentina,"2020-02-13",0,45510324,0
Argentina,"2020-02-14",0,45510324,0
Argentina,"2020-02-15",0,45510324,0
Argentina,"2020-02-16",0,45510324,0
Argentina,"2020-02-17",0,45510324,0
Argentina,"2020-02-18",0,45510324,0
Argentina,"2020-02-19",0,45510324,0
Argentina,"2020-02-20",0,45510324,0
Argentina,"2020-02-21",0,45510324,0
Argentina,"2020-02-22",0,45510324,0
Argentina,"2020-02-23",0,45510324,0
Argentina,"2020-02-24",0,45510324,0
Argentina,"2020-02-25",0,45510324,0
Argentina,"2020-02-26",0,45510324,0
Argentina,"2020-02-27",0,45510324,0
Argentina,"2020-02-28",0,45510324,0
Argentina,"2020-02-29",0,45510324,0
Argentina,"2020-03-01",0,45510324,0
Argentina,"2020-03-02",0,45510324,0
Argentina,"2020-03-03",1.0,45510324,0.0000021973036272
Argentina,"2020-03-04",1.0,45510324,0.0000021973036272
Argentina,"2020-03-05",1.0,45510324,0.0000021973036272
Argentina,"2020-03-06",2.0,45510324,0.0000043946072544
Argentina,"2020-03-07",8.0,45510324,0.0000175784290176
Argentina,"2020-03-08",12.0,45510324,0.0000263676435263
Argentina,"2020-03-09",12.0,45510324,0.0000263676435263
Argentina,"2020-03-10",17.0,45510324,0.0000373541616623
Argentina,"2020-03-11",19.0,45510324,0.0000417487689167
Argentina,"2020-03-12",19.0,45510324,0.0000417487689167
Argentina,"2020-03-13",31.0,45510324,0.000068116412443
Argentina,"2020-03-14",34.0,45510324,0.0000747083233246
Argentina,"2020-03-15",45.0,45510324,0.0000988786632238
Argentina,"2020-03-16",56.0,45510324,0.0001230490031229
Argentina,"2020-03-17",68.0,45510324,0.0001494166466492
Argentina,"2020-03-18",79.0,45510324,0.0001735869865484
Argentina,"2020-03-19",97.0,45510324,0.0002131384518379
Argentina,"2020-03-20",128.0,45510324,0.0002812548642809
Argentina,"2020-03-21",158.0,45510324,0.0003471739730967
Argentina,"2020-03-22",266.0,45510324,0.0005844827648338
Argentina,"2020-03-23",301.0,45510324,0.0006613883917856
Argentina,"2020-03-24",387.0,45510324,0.0008503565037243
Argentina,"2020-03-25",387.0,45510324,0.0008503565037243
Argentina,"2020-03-26",502.0,45510324,0.0011030464208516733
Argentina,"2020-03-27",589.0,45510324,0.0012942118364176005
Argentina,"2020-03-28",690.0,45510324,0.0015161395027642518
Argentina,"2020-03-29",745.0,45510324,0.0016369912022599531
Argentina,"2020-03-30",820.0,45510324,0.0018017889742995457
Argentina,"2020-03-31",1054.0,45510324,0.002315958023063075
Argentina,"2020-04-01",1054.0,45510324,0.002315958023063075
Argentina,"2020-04-02",1133.0,45510324,0.0024895450096114454
Argentina,"2020-04-03",1265.0,45510324,0.0027795890884011283
Argentina,"2020-04-04",1451.0,45510324,0.0031882875630593185
Argentina,"2020-04-05",1451.0,45510324,0.0031882875630593185
Argentina,"2020-04-06",1554.0,45510324,0.003414609836660359
Argentina,"2020-04-07",1628.0,45510324,0.003577210305072757
Argentina,"2020-04-08",1715.0,45510324,0.0037683757206386846
Argentina,"2020-04-09",1795.0,45510324,0.00394416001081425
Argentina,"2020-04-10",1975.0,45510324,0.0043396746637092715
Argentina,"2020-04-11",1975.0,45510324,0.0043396746637092715
Argentina,"2020-04-12",2142.0,45510324,0.004706624369450765
Argentina,"2020-04-13",2208.0,45510324,0.004851646408845606
Argentina,"2020-04-14",2277.0,45510324,0.005003260359122031
Argentina,"2020-04-15",2443.0,45510324,0.00536801276123633
Argentina,"2020-04-16",2571.0,45510324,0.005649267625517235
Argentina,"2020-04-17",2669.0,45510324,0.005864603380982302
Argentina,"2020-04-18",2758.0,45510324,0.0060601634038026184
Argentina,"2020-04-19",2839.0,45510324,0.006238144997605379
Argentina,"2020-04-20",2941.0,45510324,0.006462269967579225
Argentina,"2020-04-21",3031.0,45510324,0.006660027294026736
Argentina,"2020-04-22",3144.0,45510324,0.006908322603899722
Argentina,"2020-04-23",3435.0,45510324,0.007547737959413341
Argentina,"2020-04-24",3607.0,45510324,0.007925674183290807
Argentina,"2020-04-25",3780.0,45510324,0.008305807710795466
Argentina,"2020-04-26",3892.0,45510324,0.008551905717041258
Argentina,"2020-04-27",4003.0,45510324,0.008795806419659855
Argentina,"2020-04-28",4127.0,45510324,0.009068272069431983
Argentina,"2020-04-29",4285.0,45510324,0.009415446042528723
Argentina,"2020-04-30",4428.0,45510324,0.009729660461217546
Argentina,"2020-05-01",4532.0,45510324,0.009958180038445782
Argentina,"2020-05-02",4681.0,45510324,0.010285578278897773
Argentina,"2020-05-03",4783.0,45510324,0.010509703248871618
