"location","population","highest_infection_count","max_contagion_percentage"
Afghanistan,41128772,209107,0.5084202368113495
Albania,2842318.0,334314,11.762019591052091
Algeria,44903228,271425,0.6044665652990471
Andorra,79843.0,47866,59.95015217364077
Angola,35588996,105184,0.2955520296217404
Anguilla,15877.0,3904,24.589028153933363
Antigua and Barbuda,93772.0,9106,9.710787868446872
Argentina,45510324,10042136,22.06562185758115
Armenia,2780472.0,446332,16.0523824731916
Aruba,106459.0,44145,41.466667919105014
Australia,26177410,11347698,43.34920070396574
Austria,8939617.0,5863481,65.58984573947632
Azerbaijan,10358078,828352,7.997159318553114
Bahamas,409989.0,37491,9.144391678801139
Bahrain,1472237.0,704491,47.8517385448131
Bangladesh,171186368,2037738,1.1903623073538192
Barbados,281646.0,106434,37.78999169169809
Belarus,9534956.0,994037,10.425187069557532
Belgium,11655923,4708273,40.39382380957733
Belize,405285.0,70721,17.44969589301356
Benin,13352864,27990,0.20961795162446048
Bermuda,64207.0,18791,29.266279377637954
Bhutan,782457.0,62611,8.001845468824484
Bolivia,12224114,1191892,9.750334461867748
Bonaire Sint Eustatius and Saba,27052.0,11797,43.608605648380895
Bosnia and Herzegovina,3233530.0,401527,12.417605527086497
Botswana,2630300.0,329595,12.530699920161197
Brazil,215313504,36987682,17.17852401863285
British Virgin Islands,31332.0,7305,23.314821907315206
Brunei,449002.0,277441,61.79059336038593
Bulgaria,6781955.0,1296200,19.112483052453165
Burkina Faso,22673764,22056,0.09727542370115523
Burundi,12889583,53609,0.4159094983910651
Cambodia,16767851,138708,0.8272258621572914
Cameroon,27914542,123993,0.4441878358598898
Canada,38454328,4591202,11.939363496353389
Cape Verde,593162.0,63238,10.661168449765832
Cayman Islands,68722.0,31472,45.79610605046419
Central African Republic,5579148.0,15368,0.27545424498507654
Chad,17723312,7661,0.043225555133261775
Chile,19603736,5149301,26.266937077708047
China,1425887360,2023904,0.14193996361676142
Colombia,51874028,6356468,12.253661890300865
Comoros,836783.0,8997,1.0751891470070496
Congo,5970430.0,25375,0.4250112638453177
Cook Islands,17032.0,7020,41.21653358384218
Costa Rica,5180836.0,1194584,23.05774589274781
Cote d'Ivoire,28160548,88109,0.31288098512855644
Croatia,4030361.0,1268595,31.47596455999847
Cuba,11212198,1112548,9.92265744861088
Curacao,191173.0,45986,24.05465206906833
Cyprus,896007.0,647031,72.21271708814776
Czechia,10493990,4601070,43.84481021994494
Democratic Republic of Congo,99010216,95646,0.09660215265059113
Denmark,5882259.0,3402118,57.8369296557666
Djibouti,1120851.0,15690,1.3998292368923255
Dominica,72758.0,15760,21.6608482915968
Dominican Republic,11228821,660492,5.882113536229672
Ecuador,18001002,1056578,5.869551039436582
Egypt,110990096,515698,0.4646342498883864
El Salvador,6336393.0,201785,3.184540479102228
Equatorial Guinea,1674916.0,17214,1.0277530335849678
Eritrea,3684041.0,10189,0.2765712976592823
Estonia,1326064.0,614548,46.34376621339543
Eswatini,1201680.0,74199,6.174605552226883
Ethiopia,123379928,499865,0.40514288515389635
Faeroe Islands,53117.0,34658,65.24841387879586
Falkland Islands,3801.0,1930,50.776111549592216
Fiji,929769.0,68876,7.4078615225932465
Finland,5540745.0,1461583,26.378817289010776
France,67813000,39622140,58.42853140253344
French Polynesia,306292.0,77957,25.451856398469435
Gabon,2388997.0,48981,2.0502746550121245
Gambia,2705995.0,12586,0.4651154196515515
Georgia,3744385.0,1822045,48.66072799672042
Germany,83369840,38002114,45.582567988615544
Ghana,33475870,171160,0.5112936571924792
Gibraltar,32677.0,20414,62.4720751598984
Greece,10384972,5548487,53.42804005634295
Greenland,56494.0,11971,21.189860870180905
Grenada,125459.0,19680,15.686399540885867
Guatemala,17843914,1234045,6.9157753170072445
Guinea,13859349,38267,0.27610964988326653
Guinea-Bissau,2105580.0,8953,0.42520350687221575
Guyana,808727.0,73052,9.032961679281142
Haiti,11585003,34143,0.2947172305436606
Honduras,10432858,471557,4.519921578535815
Hong Kong,7488863.0,2876106,38.40510902656384
Hungary,9967304.0,2194102,22.012993684149695
Iceland,372903.0,208921,56.02556160717398
India,1417173120,44686263,3.153197190192261
Indonesia,275501344,6734215,2.444349237004085
Iran,88550568,7566470,8.544801203307923
Iraq,44496124,2465545,5.541033192014657
Ireland,5023108.0,1702523,33.8938163384104
Isle of Man,84534.0,38008,44.96179052215676
Israel,9449000.0,4794287,50.73856492750556
Italy,59037472,25547414,43.27321806733188
Jamaica,2827382.0,154065,5.449033770463277
Japan,123951696,33113074,26.7144985252965
Jordan,11285875,1746997,15.479499817249437
Kazakhstan,19397998,1497449,7.719605909846986
Kenya,54027484,342874,0.6346288492723444
Kiribati,131237.0,5012,3.819044933974413
Kosovo,1782115.0,272837,15.309730292377315
Kuwait,4268886.0,662858,15.527657566868733
Kyrgyzstan,6630621.0,206611,3.116012813882742
Laos,7529477.0,218009,2.895406945263263
Latvia,1850654.0,975767,52.72552297728262
Lebanon,5489744.0,1230682,22.417839520385648
Lesotho,2305826.0,34790,1.5087868729036797
Liberia,5302690.0,8065,0.1520926171433744
Libya,6812344.0,507170,7.444867728347247
Liechtenstein,39355.0,21387,54.343793672976744
Lithuania,2750058.0,1301860,47.33936520611565
Luxembourg,647601.0,315778,48.76119709512493
Macao,695180.0,3547,0.5102275669610749
Madagascar,29611718,67852,0.22913901854664429
Malawi,20405318,88640,0.43439656269997856
Malaysia,33938216,5041007,14.853482575513102
Maldives,523798.0,185723,35.456989144670274
Mali,22593598,32914,0.14567843510360767
Malta,533293.0,117248,21.9856626657391
Marshall Islands,41593.0,15598,37.50150265669704
Mauritania,4736146.0,63667,1.344278660328461
Mauritius,1299478.0,295161,22.71381277713051
Mexico,127504120,7429778,5.827088567804711
Micronesia (country),114178.0,23671,20.73166459387973
Moldova,3272993.0,600916,18.359831505903006
Monaco,36491.0,16104,44.131429667589266
Mongolia,3398373.0,1007895,29.658162891477772
Montenegro,627082.0,287421,45.8346755288782
Montserrat,4413.0,1403,31.792431452526625
Morocco,37457976,1272383,3.39682795461239
Mozambique,32969520,232819,0.7061643602939928
Myanmar,54179312,633901,1.1700056287167324
Namibia,2567024.0,171059,6.6637086369274305
Nauru,12691.0,5121,40.351430147348516
Nepal,30547586,1001133,3.277290061479817
Netherlands,17564020,8600602,48.96716127629096
New Caledonia,289959.0,80007,27.59252170134398
New Zealand,5185289.0,2208546,42.59253437947238
Nicaragua,6948395.0,15627,0.22490085839967358
Niger,26207982,9508,0.036279023695910656
Nigeria,218541216,266463,0.12192803027141572
North Korea,26069416,1,0.0000038359125498
North Macedonia,2093606.0,346733,16.561521126706744
Norway,5434324.0,1478634,27.20916161789396
Oman,4576300.0,399449,8.72864541223259
Pakistan,235824864,1576704,0.6685910778262973
Palau,18084.0,5988,33.11214333112144
Palestine,5250076.0,703228,13.394625144474098
Panama,4408582.0,1030658,23.378446856608313
Papua New Guinea,10142625,46792,0.4613401363059366
Paraguay,6780745.0,807453,11.908027805204295
Peru,34049588,4484651,13.170940570558445
Philippines,115559008,4075524,3.5267903995852925
Poland,39857144,6400331,16.05817767575118
Portugal,10270857,5566708,54.19906050683016
Qatar,2695131.0,493405,18.30727337557989
Romania,19659270,3331005,16.94368610838551
Russia,144713312,21855727,15.102775755695511
Rwanda,13776702,133170,0.9666319268573857
Saint Helena,5401.0,2166,40.10368450286984
Saint Kitts and Nevis,47681.0,6596,13.833602483169397
Saint Lucia,179872.0,29882,16.612924746486392
Saint Pierre and Miquelon,5885.0,3452,58.65760407816482
Saint Vincent and the Grenadines,103959.0,9589,9.223828624746295
Samoa,222390.0,16594,7.461666441836414
San Marino,33690.0,23521,69.81596913030573
Sao Tome and Principe,227393.0,6280,2.7617384879921545
Saudi Arabia,36408824,828917,2.2766925951796737
Senegal,17316452,88910,0.5134423610564104
Serbia,6871547.0,2484855,36.16150773617644
Seychelles,107135.0,50665,47.29080132543053
Sierra Leone,8605723.0,7760,0.09017255145209763
Singapore,5637022.0,2222006,39.41808281039173
Slovakia,5643455.0,2663604,47.198108251062514
Slovenia,2119843.0,1325505,62.528451399466846
Solomon Islands,724272.0,24575,3.3930622749464288
Somalia,17597508,27324,0.15527198510152687
South Africa,59893884,4060349,6.779238093826074
South Korea,51815808,30433895,58.73476874084449
South Sudan,10913172,18368,0.16831036842450572
Spain,47558632,13755956,28.924204548188015
Sri Lanka,21832150,672021,3.0781256083344974
Sudan,46874200,63775,0.1360556553498513
Suriname,618046.0,82227,13.304349514437435
Sweden,10549349,2697159,25.56706579714066
Switzerland,8740471.0,4409828,50.45297902138226
Syria,22125242,57461,0.25970789381648346
Taiwan,23893396,9925158,41.53933580642953
Tajikistan,9952789.0,17786,0.1787036779338937
Tanzania,65497752,42775,0.0653075849076469
Thailand,71697024,4727831,6.594180254957305
Timor,1341298.0,23418,1.745920742445005
Togo,8848700.0,39364,0.4448563065761072
Tonga,106867.0,16801,15.721410725481205
Trinidad and Tobago,1531043.0,188511,12.312586909707958
Tunisia,12356116,1150606,9.31203624180932
Turkey,85341248,17042722,19.97008761812342
Turks and Caicos Islands,45726.0,6551,14.326641298167345
Tuvalu,11335.0,2828,24.949272165857963
Uganda,47249588,170464,0.3607735161627229
Ukraine,39701744,5693003,14.33942801102138
United Arab Emirates,9441138.0,1051079,11.132969351787889
United Kingdom,67508936,24341615,36.056878455320344
United States,338289856,103124043,30.48393002951883
Uruguay,3422796.0,1033766,30.20238424960179
Uzbekistan,34627648,250873,0.7244875539915387
Vanuatu,326744.0,12014,3.6768846558773842
Vatican,808.0,29,3.5891089108910887
Venezuela,28301700,551911,1.9500984039827998
Vietnam,98186856,11526810,11.739667069083055
Wallis and Futuna,11596.0,3427,29.553294239392898
Yemen,33696612,11945,0.03544866765833907
Zambia,20017670,342317,1.7100741494889264
Zimbabwe,16320539,263642,1.6154000796174683
