"location","population","max_death_count","max_death_percentage"
Peru,34049588,219332,0.6441546370546393
Bulgaria,6781955.0,38204,0.5633183941798493
Bosnia and Herzegovina,3233530.0,16267,0.5030724935287442
Hungary,9967304.0,48738,0.4889787649699457
North Macedonia,2093606.0,9653,0.46107051661105286
Georgia,3744385.0,16950,0.4526778095735348
Montenegro,627082.0,2800,0.44651257730248994
Croatia,4030361.0,17945,0.4452454755293632
Czechia,10493990,42375,0.4038025574638436
Slovakia,5643455.0,20996,0.3720415950866978
Moldova,3272993.0,11964,0.36553698709407567
San Marino,33690.0,122,0.36212525972098547
Lithuania,2750058.0,9570,0.3479926605184327
Romania,19659270,67650,0.34411247213146773
Gibraltar,32677.0,111,0.33968846589344187
Latvia,1850654.0,6255,0.3379886245619116
Greece,10384972,34779,0.33489738826450377
Slovenia,2119843.0,7067,0.3333737451311253
United States,338289856,1117497,0.33033712958865663
Chile,19603736,64085,0.3269019741951228
Brazil,215313504,698050,0.32420168128423565
United Kingdom,67508936,218405,0.32352013369015326
Italy,59037472,187850,0.3181877435402383
Armenia,2780472.0,8719,0.31357985262933774
Ukraine,39701744,119142,0.3000926105412397
Poland,39857144,118826,0.29812974055541963
Paraguay,6780745.0,19849,0.29272594678018415
Belgium,11655923,33663,0.28880595728026004
Argentina,45510324,130448,0.286633863560277
Trinidad and Tobago,1531043.0,4336,0.28320563171641816
Colombia,51874028,142296,0.2743106820237673
Russia,144713312,387832,0.26800022378038035
Aruba,106459.0,282,0.26489070909927764
Mexico,127504120,332839,0.2610417608466299
Serbia,6871547.0,17771,0.25861716437361193
Portugal,10270857,26117,0.25428257836712165
Spain,47558632,119186,0.25060855408961297
Bermuda,64207.0,159,0.24763655053187347
Austria,8939617.0,21820,0.24408204512564685
France,67813000,164781,0.24299323138631235
Tunisia,12356116,29326,0.23733995375245748
Saint Lucia,179872.0,409,0.22738391745241057
Suriname,618046.0,1400,0.2265203560899998
Liechtenstein,39355.0,89,0.22614661415322068
Sweden,10549349,23634,0.2240327815488899
Uruguay,3422796.0,7617,0.222537364189978
Estonia,1326064.0,2926,0.22065300015685516
French Polynesia,306292.0,649,0.21188930824180846
Andorra,79843.0,165,0.2066555615395213
British Virgin Islands,31332.0,64,0.20426401123452062
Barbados,281646.0,573,0.20344688012611575
Bahamas,409989.0,833,0.20317618277563543
Germany,83369840,167301,0.20067328904553494
