"date","SUM(cast(new_cases as int))","SUM(cast(new_deaths as int))"
"2020-01-01",,
"2020-01-02",,
"2020-01-03",,
"2020-01-04",,
"2020-01-05",,
"2020-01-06",,
"2020-01-07",,
"2020-01-08",,
"2020-01-09",,
"2020-01-10",,
"2020-01-11",,
"2020-01-12",,
"2020-01-13",,
"2020-01-14",,
"2020-01-15",,
"2020-01-16",,
"2020-01-17",,
"2020-01-18",,
"2020-01-19",,
"2020-01-20",,
"2020-01-21",,
"2020-01-22",,
"2020-01-23",100,1
"2020-01-24",287,8
"2020-01-25",493,16
"2020-01-26",683,14
"2020-01-27",809,26
"2020-01-28",2651,49
"2020-01-29",589,2
"2020-01-30",2068,39
"2020-01-31",1690,42
"2020-02-01",2111,46
"2020-02-02",4749,104
"2020-02-03",3100,64
"2020-02-04",4012,66
"2020-02-05",3745,72
"2020-02-06",3162,70
"2020-02-07",3533,85
"2020-02-08",2731,87
"2020-02-09",3028,100
"2020-02-10",2538,107
"2020-02-11",2043,100
"2020-02-12",378,5
"2020-02-13",15152,253
"2020-02-14",6485,152
"2020-02-15",2076,143
"2020-02-16",2113,104
"2020-02-17",1936,98
"2020-02-18",1794,140
"2020-02-19",421,115
"2020-02-20",548,123
"2020-02-21",630,4
"2020-02-22",1762,208
"2020-02-23",325,10
"2020-02-24",568,160
"2020-02-25",854,80
"2020-02-26",959,60
"2020-02-27",1344,43
"2020-02-28",1424,57
"2020-02-29",1871,70
"2020-03-01",2379,54
"2020-03-02",1980,90
"2020-03-03",2611,74
"2020-03-04",2344,96
"2020-03-05",2740,95
"2020-03-06",3984,114
"2020-03-07",4137,104
"2020-03-08",3798,242
"2020-03-09",4295,194
"2020-03-10",4759,275
"2020-03-11",7504,351
"2020-03-12",6756,321
"2020-03-13",13194,503
"2020-03-14",10888,426
"2020-03-15",11233,666
"2020-03-16",14567,716
"2020-03-17",15174,851
"2020-03-18",17554,954
"2020-03-19",27087,1144
"2020-03-20",29532,1575
"2020-03-21",32433,1808
"2020-03-22",34178,1830
"2020-03-23",42551,2096
"2020-03-24",41888,2424
"2020-03-25",51480,2971
"2020-03-26",60810,3256
"2020-03-27",63913,3638
