"date","daily_cases","daily_deaths","infection_vs_death_percentage"
"2020-01-01",9370,197,2.102454642475987
"2020-02-24",75392,2726,3.615768251273345
"2020-03-01",783276,44272,5.6521583707403265
"2020-04-01",2446087,205170,8.387682040745077
"2020-05-01",2905659,154977,5.333626554251548
"2020-06-01",4316289,144760,3.3538069392480443
"2020-07-01",7118758,175526,2.465682918284341
"2020-08-01",7942770,183538,2.310755567642019
"2020-09-01",8506345,164838,1.9378240595696508
"2020-10-01",12121900,182803,1.508039168777172
"2020-11-01",17312544,279189,1.6126399447706818
"2020-12-01",19531422,356783,1.8267128732357534
"2021-01-01",19545448,421655,2.1573053736092414
"2021-02-01",11253388,311251,2.765842606688759
"2021-03-01",14850860,300108,2.0208122627241787
"2021-04-01",22547117,379156,1.6816163237189037
"2021-05-01",19698355,379442,1.926262370639579
"2021-06-01",11472347,271793,2.369114183871879
"2021-07-01",15731215,261835,1.6644296069947555
"2021-08-01",19893063,300952,1.512848976550268
"2021-09-01",15938499,265411,1.6652195416895907
"2021-10-01",13064203,217634,1.6658804214845713
"2021-11-01",15681171,216557,1.3810001816828603
"2021-12-01",25605940,221809,0.8662404114045412
"2022-01-01",89649377,238610,0.26615912791005786
"2022-02-01",58251117,278132,0.4774706723649608
"2022-03-01",51329157,180407,0.351470802452493
"2022-04-01",25223559,86354,0.3423545424339206
"2022-05-01",16261091,51719,0.3180536902474748
"2022-06-01",17729347,43841,0.24727927091731014
"2022-07-01",29645893,61105,0.20611624011460877
"2022-08-01",25165577,75318,0.29928977984490485
"2022-09-01",14733003,51286,0.34810282737334675
"2022-10-01",12801764,45272,0.3536387641578145
"2022-11-01",12390293,44162,0.3564241781852939
"2022-12-01",17225412,56934,0.3305232989492501
"2023-01-01",10271634,141100,1.3736860172393215
"2023-02-01",3313839,28690,0.8657632431750608
